topic,word,count,prop,score,x,y,helper,expected,expected_scaled,expected_D,expected_dv
0,point,7,0.0017309594460929772,0.140005,-49.40284614715808,-144.67099553251248,0.00024234297725024727,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,amnesty,2,0.0004945598417408506,0.043460000000000006,-49.40284614715808,-144.67099553251248,2.149357072205737e-05,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,iraq,9,0.002225519287833828,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,eager,5,0.0012363996043521265,0.196495,-49.40284614715808,-144.67099553251248,0.00024294634025717109,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,western,7,0.0017309594460929772,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,lot,22,0.005440158259149357,0.019505,-49.40284614715808,-144.67099553251248,0.00010611028684470821,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,chemical,4,0.0009891196834817012,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,persian,3,0.000741839762611276,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,gulf,2,0.0004945598417408506,-0.01545,-49.40284614715808,-144.67099553251248,-7.640949554896143e-06,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,war,13,0.003214638971315529,-0.35744499999999996,-49.40284614715808,-144.67099553251248,-0.0011490566271018794,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,persistent,2,0.0004945598417408506,0.154,-49.40284614715808,-144.67099553251248,7.616221562809099e-05,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,regime,5,0.0012363996043521265,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,execution,3,0.000741839762611276,-0.65793,-49.40284614715808,-144.67099553251248,-0.0004880786350148368,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,london,6,0.001483679525222552,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,observer,4,0.0009891196834817012,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,accused,4,0.0009891196834817012,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,good,38,0.009396636993076165,0.7311666666666667,-49.40284614715808,-144.67099553251248,0.006870507748104189,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,police,24,0.005934718100890208,-0.03734,-49.40284614715808,-144.67099553251248,-0.0002216023738872404,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,mother,10,0.002472799208704253,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,found,53,0.013105835806132542,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,issue,11,0.0027200791295746785,-0.109375,-49.40284614715808,-144.67099553251248,-0.00029750865479723053,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,film,14,0.0034619188921859545,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,mindful,2,0.0004945598417408506,0.42188000000000003,-49.40284614715808,-144.67099553251248,0.00020864490603363008,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,act,4,0.0009891196834817012,0.1868,-49.40284614715808,-144.67099553251248,0.0001847675568743818,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,kurdish,2,0.0004945598417408506,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,device,8,0.0019782393669634025,0.21143,-49.40284614715808,-144.67099553251248,0.00041825914935707216,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,assured,4,0.0009891196834817012,0.2283,-49.40284614715808,-144.67099553251248,0.0002258160237388724,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,term,5,0.0012363996043521265,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,black,6,0.001483679525222552,0.07311000000000001,-49.40284614715808,-144.67099553251248,0.0001084718100890208,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,severely,2,0.0004945598417408506,-0.35615,-49.40284614715808,-144.67099553251248,-0.00017613748763600396,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,wrong,3,0.000741839762611276,-0.4384475000000001,-49.40284614715808,-144.67099553251248,-0.00032525778931750753,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,inquiry,7,0.0017309594460929772,-0.01637,-49.40284614715808,-144.67099553251248,-2.8335806132542035e-05,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,iran,6,0.001483679525222552,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,border,4,0.0009891196834817012,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,wear,11,0.0027200791295746785,0.334955,-49.40284614715808,-144.67099553251248,0.0009111041048466863,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,factory,3,0.000741839762611276,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,introduce,3,0.000741839762611276,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,suspected,4,0.0009891196834817012,0.15793,-49.40284614715808,-144.67099553251248,0.00015621167161226503,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,young,37,0.009149357072205737,0.346645,-49.40284614715808,-144.67099553251248,0.003171578882294757,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,offensive,11,0.0027200791295746785,-0.177845,-49.40284614715808,-144.67099553251248,-0.0004837524727992087,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,linemen,2,0.0004945598417408506,0.0,-49.40284614715808,-144.67099553251248,0.0,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
0,williams,7,0.0017309594460929772,0.1742,-49.40284614715808,-144.67099553251248,0.0003015331355093966,0.045479979393339934,0.9596272978165944,0.0031244547689809323,0.03148745926570436
