neg,neu,pos,compound
0.103,0.844,0.053,-0.8633
0.087,0.792,0.121,0.818
0,0.615,0.385,0.3612
0,0.762,0.238,0.3612
0,1,0,0
0,1,0,0
0.067,0.725,0.208,0.9493
0.102,0.868,0.03,-0.99
0.074,0.891,0.035,-0.326
0.13,0.834,0.035,-0.9224
0.126,0.814,0.06,-0.9452
0,1,0,0
0.097,0.823,0.08,-0.8485
0.35,0.629,0.021,-0.9741
0.254,0.706,0.041,-0.902
0,1,0,0
0.126,0.791,0.083,-0.989
0.241,0.759,0,-0.6643
0.229,0.739,0.032,-0.9565
0.341,0.659,0,-0.7351
0.151,0.75,0.099,-0.9809
0.089,0.716,0.195,0.4019
0,0.784,0.216,0.5106
0.063,0.785,0.152,0.9544
0,0.909,0.091,0.2732
0,0.871,0.129,0.4767
0.08,0.92,0,-0.8402
0.079,0.816,0.105,0.9843
0.1,0.877,0.023,-0.8096
0.02,0.643,0.337,0.9767
0,1,0,0
0.082,0.852,0.066,-0.756
0.194,0.701,0.104,-0.9797
0.048,0.707,0.245,0.8425
0.242,0.68,0.078,-0.9887
0.427,0.573,0,-0.7717
0.137,0.745,0.118,-0.6207
0.12,0.745,0.135,0.1965
0,0.722,0.278,0.8074
0,0.876,0.124,0.7003
0.024,0.838,0.138,0.9958
0,0.942,0.058,0.8625
0.11,0.727,0.164,0.529
0.148,0.78,0.072,-0.9947
0.047,0.9,0.053,0.4019
0.118,0.754,0.128,-0.2815
0.155,0.793,0.052,-0.9689
0.124,0.699,0.177,0.9167
0.097,0.805,0.098,-0.3928
0.17,0.678,0.152,-0.8787
0.156,0.688,0.156,-0.4566
0.271,0.638,0.091,-0.9891
0.071,0.854,0.075,0.3205
0.175,0.805,0.02,-0.875
0.09,0.854,0.056,-0.9236
0.189,0.566,0.245,-0.128
0.128,0.8,0.072,-0.9487
0.077,0.769,0.154,0.908
0.015,0.898,0.086,0.9057
0,0.689,0.311,0.9746
0.259,0.491,0.25,-0.5267
0.073,0.799,0.128,0.784
0,1,0,0
0.094,0.842,0.064,-0.296
0.234,0.566,0.199,-0.3954
0.102,0.799,0.099,0.0247
0,0.709,0.291,0.9823
0.111,0.798,0.091,-0.9695
0.153,0.73,0.117,-0.9785
0.385,0.509,0.107,-0.852
0.128,0.853,0.019,-0.9214
0.078,0.76,0.162,0.9457
0,0.907,0.093,0.8716
0.209,0.791,0,-0.4404
0.185,0.418,0.397,0.7955
0,1,0,0
0.148,0.729,0.123,-0.5615
0.085,0.794,0.121,0.5939
0.419,0.581,0,-0.7574
0,1,0,0
0.061,0.875,0.063,0.1556
0.201,0.799,0,-0.4173
0.102,0.85,0.048,-0.9615
0.123,0.75,0.126,-0.211
0.425,0.575,0,-0.5719
0.108,0.747,0.145,0.9915
0.217,0.749,0.035,-0.7003
0,0.485,0.515,0.6486
0.053,0.695,0.252,0.7457
0.101,0.765,0.134,0.354
0,1,0,0
0,0.429,0.571,0.7678
0.04,0.863,0.097,0.6507
0,1,0,0
0.161,0.79,0.049,-0.9954
0,1,0,0
0.116,0.776,0.108,-0.0516
0,1,0,0
0.169,0.782,0.049,-0.8766
0.375,0.625,0,-0.9153
0,0.37,0.63,0.9657
0.11,0.857,0.032,-0.8738
0.103,0.735,0.162,0.9526
0.072,0.83,0.099,0.9192
0.141,0.859,0,-0.6808
0.648,0.352,0,-0.8481
0.155,0.687,0.159,0.0772
0,1,0,0
0,1,0,0
0.202,0.716,0.083,-0.9561
0.136,0.752,0.112,-0.9677
0.417,0.583,0,-0.5106
0.101,0.827,0.072,-0.8087
0.198,0.664,0.138,-0.9527
0,0.713,0.287,0.9333
0,1,0,0
0.046,0.757,0.196,0.9467
0.175,0.682,0.143,-0.3573
0.082,0.873,0.045,-0.4572
0.444,0.556,0,-0.4939
0.286,0.714,0,-0.7506
0,1,0,0
0.101,0.744,0.155,0.2023
0.169,0.831,0,-0.0572
0.09,0.68,0.23,0.6369
0.303,0.611,0.086,-0.9877
0.274,0.556,0.169,-0.9855
0.095,0.838,0.068,-0.25
0.104,0.862,0.034,-0.9279
0.21,0.706,0.083,-0.8442
0,1,0,0
0.185,0.717,0.099,-0.5382
0.089,0.849,0.062,-0.0139
0,1,0,0
0.083,0.817,0.1,0.9247
0.249,0.751,0,-0.9359
0.107,0.574,0.32,0.6369
0.114,0.847,0.039,-0.9967
0.116,0.709,0.175,0.9777
0.093,0.772,0.135,0.9685
0.097,0.814,0.089,-0.1176
0.135,0.865,0,-0.5457
0.121,0.746,0.134,-0.1235
0.175,0.762,0.063,-0.9941
0.265,0.606,0.129,-0.4215
0.24,0.76,0,-0.8689
0.346,0.654,0,-0.891
0.117,0.707,0.176,0.9881
0.214,0.699,0.087,-0.8768
0.155,0.845,0,-0.6808
0.198,0.568,0.234,-0.2216
0.153,0.547,0.299,0.4588
0.317,0.632,0.051,-0.9591
0,0.692,0.308,0.9097
0,1,0,0
0,1,0,0
0,1,0,0
0.127,0.873,0,-0.0422
0,1,0,0
0.2,0.716,0.084,-0.4059
0.246,0.644,0.11,-0.9681
0.116,0.789,0.095,-0.1027
0.05,0.95,0,-0.5106
0,1,0,0
0.119,0.881,0,-0.2263
0.167,0.754,0.079,-0.932
0.535,0.465,0,-0.6808
0,0.345,0.655,0.2263
0,1,0,0
0.088,0.796,0.116,0.9129
0.209,0.791,0,-0.765
0.444,0.556,0,-0.8625
0.392,0.523,0.085,-0.8555
0,1,0,0
0.139,0.789,0.071,-0.8779
0.12,0.811,0.069,-0.9075
0.172,0.556,0.272,0.9767
0.107,0.764,0.129,0.0992
0.189,0.811,0,-0.2023
0.113,0.665,0.222,0.5994
0.233,0.743,0.025,-0.9118
0,1,0,0
0.161,0.839,0,-0.128
0.157,0.787,0.056,-0.9934
0.103,0.897,0,-0.6728
0.083,0.722,0.195,0.7845
0.121,0.879,0,-0.4404
0.117,0.714,0.168,0.296
0.274,0.726,0,-0.2235
0,0.731,0.269,0.7096
0.264,0.657,0.079,-0.976
0.109,0.709,0.182,0.5859
0.066,0.837,0.097,0.2212
0.081,0.694,0.226,0.9888
0.146,0.758,0.096,-0.9809
0.176,0.725,0.099,-0.9436
0.083,0.861,0.056,-0.9052
0.138,0.414,0.448,0.8176
0.169,0.601,0.231,-0.0085
0.204,0.713,0.083,-0.9468
0.338,0.596,0.066,-0.9269
0.148,0.775,0.077,-0.25
0.181,0.819,0,-0.6369
0.085,0.547,0.368,0.8674
0.083,0.881,0.036,-0.8096
0.219,0.755,0.026,-0.9585
0.254,0.746,0,-0.5267
0.174,0.787,0.039,-0.9758
0.197,0.65,0.153,-0.9688
0.187,0.636,0.177,0.3585
0,0.568,0.432,0.5859
0,1,0,0
0.094,0.779,0.127,0.9843
0.066,0.821,0.112,0.9854
0.17,0.749,0.08,-0.8316
0.189,0.683,0.129,-0.7072
0,1,0,0
0.262,0.595,0.143,-0.9762
0,0.921,0.079,0.836
0.24,0.711,0.048,-0.8208
0,1,0,0
0.078,0.587,0.335,0.9776
0,0.906,0.094,0.4939
0,0.469,0.531,0.5267
0.193,0.705,0.103,-0.995
0.242,0.67,0.088,-0.936
0.172,0.712,0.116,-0.4767
0.04,0.749,0.211,0.988
0.109,0.739,0.152,0.7363
0.134,0.817,0.049,-0.799
0.109,0.738,0.153,0.0938
0.269,0.682,0.05,-0.9965
0.058,0.802,0.14,0.7074
0.2,0.675,0.125,-0.7964
0,1,0,0
0,1,0,0
0,0.552,0.448,0.8668
0,1,0,0
0.161,0.63,0.209,0.3182
0.077,0.667,0.256,0.9702
0,1,0,0
0,1,0,0
0.252,0.683,0.065,-0.9414
0.216,0.733,0.051,-0.966
0.058,0.801,0.142,0.5423
0,0.286,0.714,0.3612
0.194,0.68,0.126,-0.604
0,1,0,0
0,0.427,0.573,0.7482
0,1,0,0
0.11,0.814,0.076,-0.9867
0.14,0.783,0.077,-0.5028
0.292,0.659,0.049,-0.9525
0.134,0.825,0.041,-0.7783
0.089,0.911,0,-0.9527
0,1,0,0
0,1,0,0
0.094,0.834,0.072,0.1851
0.09,0.784,0.126,0.821
0,1,0,0
0.089,0.865,0.045,-0.4767
0.139,0.775,0.087,-0.3544
0.126,0.796,0.078,-0.4915
0,0.476,0.524,0.296
0,0.948,0.052,0.34
0,0.97,0.03,0.1531
0,1,0,0
0.179,0.663,0.158,-0.427
0.153,0.623,0.223,0.4019
0.093,0.823,0.084,0.1197
0.155,0.789,0.056,-0.9694
0.153,0.782,0.065,-0.9522
0.135,0.726,0.138,0.831
0,0.57,0.43,0.8074
0.232,0.723,0.046,-0.8295
0.029,0.971,0,-0.6351
0,0.86,0.14,0.7184
0.142,0.835,0.023,-0.9882
0,1,0,0
0.139,0.792,0.069,-0.4215
0.162,0.838,0,-0.4019
0.035,0.941,0.023,-0.3612
0,0.811,0.189,0.6369
0,0.483,0.517,0.8176
0,0.829,0.171,0.6588
0.105,0.638,0.257,0.8979
0,0.734,0.266,0.4389
0.115,0.747,0.138,0.1741
0.171,0.708,0.121,-0.3378
0.142,0.802,0.056,-0.991
0,1,0,0
0.096,0.778,0.127,0.397
0.065,0.832,0.103,0.9537
0,1,0,0
0.247,0.72,0.033,-0.8519
0,0.481,0.519,0.6588
0,0.884,0.116,0.5913
0,0.707,0.293,0.4404
0.071,0.753,0.176,0.5175
0,1,0,0
0,1,0,0
0.257,0.686,0.058,-0.9974
0.049,0.724,0.226,0.9612
0,1,0,0
0.115,0.855,0.031,-0.8825
0,0.714,0.286,0.4215
0,0.742,0.258,0.1877
0,1,0,0
0,0.633,0.367,0.7603
0.089,0.87,0.041,-0.972
0,0.674,0.326,0.4404
0.211,0.71,0.079,-0.7964
0,0.856,0.144,0.4019
0.096,0.86,0.044,-0.9773
0.03,0.771,0.198,0.8031
0.023,0.862,0.115,0.8622
0,1,0,0
0.18,0.82,0,-0.6808
0.093,0.819,0.088,0.2237
0.208,0.792,0,-0.2732
0,1,0,0
0.118,0.809,0.073,-0.9637
0.048,0.762,0.191,0.8183
0.071,0.848,0.081,-0.5258
0.063,0.809,0.127,0.9496
0.1,0.76,0.14,0.1531
0,1,0,0
0,0.545,0.455,0.3612
0.263,0.638,0.099,-0.8176
0.213,0.787,0,-0.6808
0.122,0.75,0.129,0.72
0.132,0.868,0,-0.8957
0.077,0.741,0.182,0.8488
0,1,0,0
0.111,0.861,0.028,-0.7678
0,1,0,0
0,1,0,0
0.239,0.761,0,-0.2235
0.188,0.611,0.201,-0.2716
0,0.672,0.328,0.9719
0.074,0.789,0.137,0.4295
0.273,0.727,0,-0.4588
0,1,0,0
0.187,0.777,0.037,-0.9001
0,1,0,0
0.023,0.565,0.412,0.9764
0.111,0.678,0.212,0.9357
0,1,0,0
0.116,0.722,0.162,0.6124
0,0.652,0.348,0.4939
0.195,0.805,0,-0.6808
0.149,0.724,0.127,-0.096
0.113,0.82,0.067,-0.4215
0.337,0.663,0,-0.765
0.095,0.785,0.12,0.2023
0.151,0.742,0.107,-0.4344
0.135,0.588,0.276,0.7213
0.114,0.866,0.02,-0.7526
0,1,0,0
0,1,0,0
0,0.795,0.205,0.8316
0,0.819,0.181,0.6249
0.175,0.751,0.074,-0.9498
0,1,0,0
0.252,0.748,0,-0.4023
0.117,0.701,0.182,0.34
0,0.685,0.315,0.811
0,1,0,0
0.126,0.686,0.188,0.7412
0.136,0.804,0.06,-0.8381
0.545,0.455,0,-0.5562
0.13,0.759,0.11,-0.9354
0,0.675,0.325,0.4389
0.47,0.53,0,-0.7959
0,1,0,0
0,0.766,0.234,0.6705
0.228,0.545,0.227,-0.2577
0.155,0.735,0.11,-0.9948
0.165,0.772,0.064,-0.8188
0.088,0.87,0.042,-0.9749
0,0.807,0.193,0.6705
0.105,0.783,0.112,0.7527
0,0.703,0.297,0.5859
0.111,0.729,0.16,0.8257
0,1,0,0
0.143,0.815,0.042,-0.9178
0.095,0.577,0.328,0.9976
0.097,0.825,0.078,-0.9614
0,1,0,0
0.095,0.746,0.159,0.8509
0.109,0.8,0.091,-0.5719
0.075,0.873,0.052,-0.798
0.116,0.753,0.131,0.9042
0.242,0.758,0,-0.8807
0.094,0.663,0.243,0.9921
0.183,0.751,0.066,-0.9955
0,0.814,0.186,0.8294
0.125,0.76,0.115,-0.6035
0.055,0.855,0.09,0.8225
0.071,0.799,0.13,0.986
0.052,0.751,0.197,0.9849
0,1,0,0
0.083,0.892,0.024,-0.6562
0.046,0.775,0.18,0.9671
0.136,0.804,0.06,-0.9412
0.394,0.606,0,-0.3818
0.102,0.495,0.403,0.8993
0.102,0.827,0.07,-0.9913
0.064,0.912,0.024,-0.8562
0.072,0.889,0.039,-0.1106
0,0.769,0.231,0.5106
0,0.889,0.111,0.3612
0,1,0,0
0.205,0.758,0.037,-0.9682
0.11,0.786,0.104,-0.163
0.137,0.677,0.186,0.9398
0.097,0.851,0.052,-0.7457
0.181,0.692,0.126,-0.3599
0.151,0.799,0.05,-0.7717
0.073,0.927,0,-0.3491
0.172,0.828,0,-0.1695
0.097,0.839,0.064,-0.8697
0,1,0,0
0.098,0.902,0,-0.0772
0,0.714,0.286,0.765
0,1,0,0
0.093,0.833,0.073,-0.1531
0.192,0.73,0.078,-0.9811
0.084,0.745,0.17,0.9748
0.351,0.649,0,-0.9208
0.133,0.721,0.146,0.1717
0.102,0.756,0.142,0.2263
0,1,0,0
0,1,0,0
0.28,0.72,0,-0.9535
0,1,0,0
0,0.633,0.367,0.4404
0.135,0.764,0.101,-0.9655
0.33,0.67,0,-0.75
0,1,0,0
0,1,0,0
0,0.888,0.112,0.6868
0,1,0,0
0,0.571,0.429,0.3089
0.178,0.723,0.099,-0.9897
0.134,0.809,0.057,-0.6198
0.125,0.809,0.066,-0.9678
0.04,0.71,0.25,0.8135
0,1,0,0
0,1,0,0
0,1,0,0
0,0.922,0.078,0.5106
0,1,0,0
0,1,0,0
0.193,0.783,0.024,-0.9201
0.171,0.531,0.298,0.2732
0,1,0,0
0.183,0.741,0.076,-0.8899
0,1,0,0
0.752,0.248,0,-0.8442
0,1,0,0
0.137,0.753,0.11,-0.2714
0.042,0.916,0.042,0.2553
0.259,0.552,0.19,-0.4588
0.131,0.723,0.146,-0.5647
0.19,0.697,0.113,-0.928
0,0.441,0.559,0.7644
0,1,0,0
0.033,0.952,0.015,-0.4767
0.213,0.696,0.09,-0.8382
0,1,0,0
0.258,0.571,0.171,-0.9825
0.086,0.842,0.072,-0.4019
0.113,0.887,0,-0.6808
0,0.552,0.448,0.8074
0.026,0.741,0.233,0.7579
0.071,0.858,0.07,-0.0516
0.04,0.778,0.182,0.7184
0.115,0.826,0.059,-0.3818
0,0.718,0.282,0.7698
0,1,0,0
0.205,0.624,0.171,-0.281
0.04,0.556,0.404,0.9717
0.121,0.797,0.082,-0.8948
0,0.899,0.101,0.4019
0.303,0.609,0.089,-0.9117
0.246,0.754,0,-0.9864
0,1,0,0
0.067,0.863,0.07,-0.0953
0,1,0,0
0.173,0.739,0.088,-0.9968
0.058,0.863,0.079,0.3056
0.13,0.695,0.175,0.9782
0.062,0.938,0,-0.2942
0.418,0.582,0,-0.5562
0.155,0.706,0.139,-0.2337
0,1,0,0
0.21,0.689,0.101,-0.7937
0.161,0.765,0.074,-0.9274
0.196,0.718,0.086,-0.936
0.318,0.501,0.181,-0.6044
0,1,0,0
0.308,0.628,0.064,-0.9952
0,0.702,0.298,0.5255
0,0.804,0.196,0.296
0.008,0.674,0.318,0.9925
0.149,0.774,0.077,-0.9743
0.134,0.758,0.108,-0.8878
0.168,0.715,0.117,-0.7622
0.121,0.804,0.075,-0.9965
0.14,0.838,0.022,-0.9442
0,1,0,0
0,1,0,0
0.131,0.813,0.056,-0.9451
0.28,0.72,0,-0.765
0.04,0.837,0.123,0.8031
0.066,0.743,0.191,0.9293
0,0.705,0.295,0.9571
0,1,0,0
0.129,0.632,0.239,0.5112
0.277,0.723,0,-0.9584
0.1,0.793,0.107,0.4881
0.123,0.86,0.017,-0.978
0.157,0.714,0.129,-0.8462
0.09,0.769,0.141,0.1079
0,0.855,0.145,0.7763
0.234,0.694,0.072,-0.9601
0.093,0.907,0,-0.8779
0.159,0.735,0.106,-0.9569
0.146,0.716,0.138,-0.3288
0.14,0.806,0.053,-0.9516
0.162,0.741,0.097,-0.34
1,0,0,-0.34
0.124,0.876,0,-0.9136
0,0.565,0.435,0.6588
0.33,0.647,0.023,-0.9443
0.153,0.847,0,-0.8625
0.167,0.811,0.023,-0.9825
0,0.503,0.497,0.836
0.117,0.762,0.121,0.4698
0.121,0.774,0.105,-0.3937
0.241,0.692,0.068,-0.9982
0.233,0.737,0.03,-0.946
0.054,0.792,0.154,0.9179
0.144,0.783,0.073,-0.8175
0.092,0.743,0.164,0.4939
0.222,0.649,0.129,-0.8779
0.119,0.693,0.188,0.128
0.138,0.788,0.074,-0.7914
0.084,0.841,0.075,-0.1771
0.237,0.636,0.127,-0.4404
0.104,0.705,0.191,0.9673
0.09,0.829,0.081,-0.2587
0,0.526,0.474,0.4019
0.136,0.653,0.21,0.4291
0.072,0.916,0.012,-0.9932
0.109,0.784,0.107,-0.0314
0.144,0.797,0.059,-0.6979
0.085,0.78,0.135,0.4195
0.194,0.709,0.097,-0.9785
0,0.714,0.286,0.6369
0,1,0,0
0.183,0.766,0.051,-0.937
0.047,0.7,0.254,0.8715
0,0.286,0.714,0.3612
0.125,0.724,0.152,0.7266
0.176,0.787,0.037,-0.8545
0.188,0.686,0.126,-0.9486
0.246,0.718,0.037,-0.9337
0.208,0.702,0.09,-0.6908
0.158,0.785,0.058,-0.9359
0.14,0.778,0.083,-0.9487
0,0.606,0.394,0.8555
0.163,0.649,0.189,0.7605
0.165,0.742,0.093,-0.91
0.177,0.613,0.21,0.128
0.316,0.627,0.057,-0.9731
0.264,0.736,0,-0.91
0.13,0.838,0.032,-0.8512
0.212,0.788,0,-0.3612
0,1,0,0
