neg,neu,pos,compound
0.139,0.636,0.224,0.4215
0,0.714,0.286,0.7003
0.145,0.83,0.025,-0.8825
0.087,0.773,0.14,0.8633
0.119,0.778,0.103,-0.7965
0,0.715,0.285,0.4199
0.071,0.861,0.068,-0.1154
0.062,0.816,0.122,0.7346
0.277,0.723,0,-0.7935
0.122,0.81,0.068,-0.9409
0.139,0.821,0.039,-0.743
0.083,0.876,0.042,-0.8074
0.117,0.778,0.105,0.4277
0.179,0.754,0.066,-0.8655
0,1,0,0
0.107,0.63,0.263,0.4995
0.261,0.665,0.074,-0.836
0,1,0,0
0,0.593,0.407,0.7608
0.062,0.881,0.057,-0.0828
0,0.257,0.743,0.4389
0,0.444,0.556,0.3612
0.031,0.883,0.086,0.5283
0.066,0.81,0.123,0.8234
0.157,0.713,0.131,-0.128
0.592,0.408,0,-0.4404
0,0.79,0.21,0.7845
0.188,0.682,0.13,-0.2023
0.074,0.796,0.13,0.985
0.252,0.748,0,-0.7506
0.092,0.861,0.047,-0.2144
0,1,0,0
0.022,0.646,0.332,0.9804
0.096,0.784,0.12,0.7645
0.203,0.797,0,-0.6249
0.105,0.823,0.072,-0.4811
0.147,0.74,0.113,-0.1027
0,1,0,0
0,0.951,0.049,0.2263
0.081,0.788,0.131,0.9749
0.238,0.762,0,-0.3595
0.21,0.723,0.068,-0.5994
0.365,0.448,0.187,-0.3365
0.067,0.725,0.208,0.9493
0.117,0.849,0.034,-0.9555
0.92,0.08,0,-0.91
0,0.508,0.492,0.4404
0,0.508,0.492,0.4404
0.043,0.877,0.08,0.34
0,0.838,0.162,0.4404
0.232,0.697,0.072,-0.6294
0,0.256,0.744,0.7003
0.21,0.642,0.148,-0.7645
0.149,0.756,0.096,-0.8779
0.094,0.807,0.099,-0.4362
0.063,0.762,0.175,0.8636
0.128,0.752,0.12,-0.0516
0,0.37,0.63,0.6249
0.191,0.629,0.18,-0.4482
0.121,0.773,0.106,-0.0935
0,1,0,0
0.092,0.877,0.031,-0.9599
0.181,0.769,0.05,-0.5525
0,1,0,0
0.127,0.815,0.058,-0.9841
0.055,0.945,0,-0.7351
0,1,0,0
0.151,0.832,0.017,-0.836
0,0.842,0.158,0.902
0,1,0,0
0.114,0.631,0.255,0.7184
0.092,0.871,0.037,-0.985
0,0.694,0.306,0.7219
0.076,0.895,0.029,-0.3071
0,0.667,0.333,0.4574
0,1,0,0
0,0.508,0.492,0.4404
0,0.508,0.492,0.4404
0.128,0.713,0.159,0.1451
0.027,0.878,0.095,0.7196
0.247,0.753,0,-0.6808
0,0.476,0.524,0.6705
0.177,0.823,0,-0.9095
0,0.615,0.385,0.3612
0,0.615,0.385,0.3612
0,1,0,0
0,0.615,0.385,0.3612
0.348,0.652,0,-0.4939
0,0.484,0.516,0.4926
0,0.708,0.292,0.7651
0.036,0.803,0.161,0.9717
0,0.508,0.492,0.4404
0,0.872,0.128,0.3612
0.105,0.843,0.052,-0.7804
0.128,0.872,0,-0.4201
0.096,0.805,0.099,0.0258
0.324,0.676,0,-0.91
0.324,0.676,0,-0.91
