topic,word,count,prop,score,x,y,helper,expected,expected_scaled
0,care,3,0.001633097441480675,0.6815199999999999,10.223049850515364,8.134186414543533,0.0011129885683179095,-0.00040702231899836683,-0.0038482240959948244
0,era,9,0.004899292324442025,0.11036,10.223049850515364,8.134186414543533,0.0005406859009254219,-0.00040702231899836683,-0.0038482240959948244
0,till,3,0.001633097441480675,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,self-love,2,0.0010887316276537834,-0.16296,10.223049850515364,8.134186414543533,-0.00017741970604246056,-0.00040702231899836683,-0.0038482240959948244
0,sea,3,0.001633097441480675,0.38929,10.223049850515364,8.134186414543533,0.000635748502994012,-0.00040702231899836683,-0.0038482240959948244
0,jag,4,0.002177463255307567,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,rent,4,0.002177463255307567,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,normal,2,0.0010887316276537834,0.14964,10.223049850515364,8.134186414543533,0.00016291780076211216,-0.00040702231899836683,-0.0038482240959948244
0,cali,2,0.0010887316276537834,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,son,4,0.002177463255307567,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,war,5,0.0027218290691344584,-0.357445,10.223049850515364,8.134186414543533,-0.0009729041916167665,-0.00040702231899836683,-0.0038482240959948244
0,shout,2,0.0010887316276537834,-0.000285,10.223049850515364,8.134186414543533,-3.1028851388132827e-07,-0.00040702231899836683,-0.0038482240959948244
0,karma,2,0.0010887316276537834,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,outcome,2,0.0010887316276537834,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,ans,2,0.0010887316276537834,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,main,3,0.001633097441480675,0.048255,10.223049850515364,8.134186414543533,7.880511703864997e-05,-0.00040702231899836683,-0.0038482240959948244
0,creepy,5,0.0027218290691344584,-0.64627,10.223049850515364,8.134186414543533,-0.0017590364725095264,-0.00040702231899836683,-0.0038482240959948244
0,releasing,2,0.0010887316276537834,-0.07997,10.223049850515364,8.134186414543533,-8.706586826347306e-05,-0.00040702231899836683,-0.0038482240959948244
0,tau,2,0.0010887316276537834,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,ani,3,0.001633097441480675,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,final,7,0.003810560696788242,-0.051065,10.223049850515364,8.134186414543533,-0.00019458628198149158,-0.00040702231899836683,-0.0038482240959948244
0,command,2,0.0010887316276537834,-0.12134,10.223049850515364,8.134186414543533,-0.0001321066956995101,-0.00040702231899836683,-0.0038482240959948244
0,princess,2,0.0010887316276537834,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,hiding,2,0.0010887316276537834,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,intent,3,0.001633097441480675,0.100785,10.223049850515364,8.134186414543533,0.00016459172563962983,-0.00040702231899836683,-0.0038482240959948244
0,som,5,0.0027218290691344584,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,med,3,0.001633097441480675,-0.0006900000000000001,10.223049850515364,8.134186414543533,-1.1268372346216658e-06,-0.00040702231899836683,-0.0038482240959948244
0,nun,2,0.0010887316276537834,0.20804,10.223049850515364,8.134186414543533,0.00022649972781709312,-0.00040702231899836683,-0.0038482240959948244
0,padre,2,0.0010887316276537834,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,david,3,0.001633097441480675,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,chosen,3,0.001633097441480675,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,tack,2,0.0010887316276537834,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,als,4,0.002177463255307567,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,das,3,0.001633097441480675,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,mit,2,0.0010887316276537834,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,sin,3,0.001633097441480675,-0.5008050000000001,10.223049850515364,8.134186414543533,-0.0008178633641807295,-0.00040702231899836683,-0.0038482240959948244
0,mon,9,0.004899292324442025,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,par,2,0.0010887316276537834,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,sind,3,0.001633097441480675,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
0,exist,2,0.0010887316276537834,0.19882,10.223049850515364,8.134186414543533,0.00021646162221012523,-0.00040702231899836683,-0.0038482240959948244
0,sur,2,0.0010887316276537834,0.0,10.223049850515364,8.134186414543533,0.0,-0.00040702231899836683,-0.0038482240959948244
