word,count,dataset
signal hands,1,amazon
favorite function,1,amazon
downloadable java,1,amazon
java apps,2,amazon
one phone,1,amazon
phone yet,1,amazon
yet namely,1,amazon
namely gsm850,1,amazon
gsm850 also,1,amazon
also sometimes,1,amazon
sometimes known,1,amazon
gsm800 bluetooth,1,amazon
quad bands,1,amazon
bands start,1,amazon
start appearing,1,amazon
anyone comments,1,amazon
comments yes,1,amazon
know motorola,1,amazon
quad band,1,amazon
band edge,1,amazon
edge bluetooth,1,amazon
bluetooth phone,1,amazon
band gsm850,1,amazon
gsm850 phones,1,amazon
phones lack,1,amazon
gsm900 band,1,amazon
globally roam,1,amazon
great plan,1,amazon
38 t,2,amazon
t subscriber,1,amazon
nokia 8260,1,amazon
8260 phone,1,amazon
size speakerphone,1,amazon
option great,1,amazon
great priced,1,amazon
priced calling,1,amazon
calling plan,1,amazon
corporate email,3,amazon
t store,1,amazon
get corporate,1,amazon
three heads,1,amazon
corporate network,1,amazon
mobile unlimited,1,amazon
unlimited t,1,amazon
can check,1,amazon
email addresses,1,amazon
use unlimited,1,amazon
unlimited internet,2,amazon
always asking,1,amazon
one friend,1,amazon
friend buy,1,amazon
one immediately,1,amazon
test drive,1,amazon
phone looks,1,amazon
looks much,1,amazon
u see,1,amazon
bluetooth functionality,1,amazon
phone even,1,amazon
default ringtones,1,amazon
winning combination,1,amazon
phone easy,1,amazon
use excellent,1,amazon
excellent network,1,amazon
just 50,1,amazon
mobile really,1,amazon
really teamed,1,amazon
organizational deficiencies,1,amazon
internet without,1,amazon
bulky phone,1,amazon
phone like,1,amazon
little 6610,1,amazon
coveted item,1,amazon
money just,2,amazon
can tell,1,amazon
tell features,1,amazon
work like,1,amazon
charm ringtones,1,amazon
best bet,1,amazon
annoying flip,1,amazon
problems great,1,amazon
6610 phone,1,amazon
speakerphone works,1,amazon
works better,1,amazon
excellent except,1,amazon
except maybe,1,amazon
quieter talkers,1,amazon
included earpiece,1,amazon
distortion problems,1,amazon
definitely won,1,amazon
cheap free,1,amazon
first let,2,amazon
much smaller,1,amazon
also looks,1,amazon
looks better,1,amazon
radio feature,1,amazon
superb sound,1,amazon
6100 siemens,1,amazon
siemens sl55,1,amazon
smaller many,1,amazon
people seem,1,amazon
classic design,1,amazon
design yet,1,amazon
yet looks,1,amazon
looks hip,1,amazon
better compared,1,amazon
toy phone,1,amazon
phone design,1,amazon
nokia 7210,1,amazon
cheap feel,1,amazon
extremely light,1,amazon
camera phones,1,amazon
phones just,1,amazon
just get,2,amazon
camera attachement,1,amazon
stereo headphones,1,amazon
alot better,1,amazon
need t,2,amazon
go online,1,amazon
every t,1,amazon
mobile plan,1,amazon
plan comes,1,amazon
gsm data,1,amazon
data meaning,1,amazon
56 kbps,1,amazon
around 9,1,amazon
9 kbps,1,amazon
size wap,1,amazon
wap websites,1,amazon
uses regular,1,amazon
regular minutes,1,amazon
download pics,1,amazon
tmobiles might,1,amazon
best reception,1,amazon
amazing phones,1,amazon
cheap plans,1,amazon
get way,1,amazon
phone buy,1,amazon
like others,2,amazon
two good,1,amazon
good qualities,1,amazon
phone s,1,amazon
mobile verizon,1,amazon
can benifit,1,amazon
mobile features,1,amazon
well aware,1,amazon
mentioned using,1,amazon
usb 1,2,amazon
0 port,1,amazon
gprs option,1,amazon
can pay,1,amazon
pay 19,1,amazon
19 99,1,amazon
99 extra,1,amazon
internet access,1,amazon
access added,1,amazon
56k speed,1,amazon
modem cable,1,amazon
cable 49,1,amazon
99 nokiausa,1,amazon
nokiausa com,1,amazon
mobile com,1,amazon
com press,1,amazon
press dial,1,amazon
mac pb,1,amazon
pb 1gz,1,amazon
can access,1,amazon
email fax,1,amazon
entire web,1,amazon
internet service,1,amazon
access mls,1,amazon
mls real,1,amazon
real estate,1,amazon
estate broker,1,amazon
broker software,1,amazon
great amount,1,amazon
travel buy,1,amazon
buy car,1,amazon
mobile hot,1,amazon
internet browsing,1,amazon
also leave,1,amazon
many stuffs,1,amazon
free phone,1,amazon
need tw,1,amazon
tw phones,1,amazon
coupons twice,1,amazon
phone just,1,amazon
just commenting,1,amazon
saw another,1,amazon
another review,2,amazon
review saying,1,amazon
dialing according,1,amazon
amazon amp,1,amazon
phone may,1,amazon
may look,1,amazon
look large,1,amazon
small smaller,1,amazon
3390 phone,1,amazon
entertaining games,1,amazon
phone quite,1,amazon
quite disturbing,1,amazon
really like,2,amazon
like bounce,1,amazon
always known,1,amazon
known nokia,1,amazon
good games,1,amazon
really look,1,amazon
great screen,1,amazon
great sound,11,amazon
ok everybody,1,amazon
everybody loves,1,amazon
phone first,1,amazon
first right,1,amazon
6610 excels,1,amazon
phone thank,1,amazon
thank god,1,amazon
voice quality,1,amazon
gets great,1,amazon
get t,1,amazon
mobile coverage,1,amazon
good see,1,amazon
screen makes,1,amazon
rebates phone,1,amazon
phone shine,1,amazon
shine bright,1,amazon
nokia seems,1,amazon
totally unnecessary,1,amazon
traditional key,1,amazon
key arrangement,1,amazon
really close,1,amazon
one another,1,amazon
unconventional shapes,1,amazon
big getting,1,amazon
getting used,4,amazon
someone like,2,amazon
big hands,1,amazon
many korean,1,amazon
korean imports,1,amazon
nokia's build,1,amazon
light years,1,amazon
years ahead,1,amazon
network coverage,1,amazon
network always,1,amazon
always seems,1,amazon
seems overloaded,1,amazon
overloaded resulting,1,amazon
unpleasant calling,1,amazon
calling experience,1,amazon
t go,1,amazon
great service,1,amazon
relatively new,2,amazon
new phone,1,amazon
first saw,1,amazon
tad small,1,amazon
comfortable handsfree,1,amazon
handsfree ear,1,amazon
ear piece,2,amazon
unless dialing,1,amazon
offer voice,1,amazon
dialing like,1,amazon
previous phone,1,amazon
packs outweighs,1,amazon
even changeable,1,amazon
several color,1,amazon
color schemes,1,amazon
can choose,1,amazon
default blue,1,amazon
also set,1,amazon
background wallpaper,1,amazon
ringtones included,1,amazon
annoying series,1,amazon
phone plays,1,amazon
4 tones,1,amazon
actually sounds,1,amazon
sounds like,2,amazon
like music,1,amazon
also assign,1,amazon
assign special,1,amazon
special rings,1,amazon
special people,1,amazon
massive phonebook,1,amazon
phonebook can,1,amazon
can hold,2,amazon
hold 300,1,amazon
300 entries,1,amazon
multiple phone,1,amazon
number per,1,amazon
per entry,1,amazon
can program,1,amazon
boss's home,1,amazon
home work,1,amazon
cellphone numbers,1,amazon
one contact,1,amazon
phone also,1,amazon
also sports,1,amazon
image gallery,1,amazon
option camera,1,amazon
camera attachment,1,amazon
calendar organizer,1,amazon
organizer alarm,1,amazon
alarm clock,1,amazon
snooze fm,1,amazon
radio way,1,amazon
way cool,1,amazon
cool even,1,amazon
ear peice,1,amazon
peice games,1,amazon
games java,1,amazon
gprs high,1,amazon
speed internet,1,amazon
internet connection,1,amazon
gprs connection,1,amazon
sometimes slow,1,amazon
writing instant,1,amazon
instant messages,1,amazon
included aol,1,amazon
aol instant,1,amazon
instant messenger,1,amazon
messenger software,1,amazon
zones applications,1,amazon
quite useful,1,amazon
get weather,1,amazon
weather movies,1,amazon
movies horoscopes,1,amazon
service deafults,1,amazon
information associated,1,amazon
billing zip,1,amazon
zip code,1,amazon
writing t,1,amazon
t zone,1,amazon
zone system,1,amazon
fully support,1,amazon
compatible phone,1,amazon
game downloads,2,amazon
system returns,1,amazon
error message,1,amazon
message saying,1,amazon
fixed soon,1,amazon
say enough,1,amazon
enough good,1,amazon
can find,3,amazon
pretty quick,1,amazon
every phone,1,amazon
phone experience,1,amazon
brief time,1,amazon
hold followed,1,amazon
cheerful representative,1,amazon
representative answering,1,amazon
satisfactorily resolved,1,amazon
old carrier,1,amazon
rate plans,1,amazon
different people,1,amazon
different needs,1,amazon
mobile plans,1,amazon
received 5,1,amazon
zones worked,1,amazon
recommended otherwise,1,amazon
mobile ruins,1,amazon
otherwise good,1,amazon
nokia makes,1,amazon
complicated features,1,amazon
easily accessible,1,amazon
one huge,1,amazon
phones manufactured,1,amazon
mobile lack,1,amazon
lack many,1,amazon
nokia straight,1,amazon
things t,1,amazon
mobile brags,1,amazon
europe etc,1,amazon
gotten rid,1,amazon
phone including,1,amazon
including italian,1,amazon
italian german,1,amazon
internet functions,1,amazon
phone wap,1,amazon
gprs will,1,amazon
mobile's services,1,amazon
different network,1,amazon
travel abroad,1,amazon
local sim,1,amazon
card even,1,amazon
local wap,1,amazon
wap browser,1,amazon
spending hours,1,amazon
one tech,1,amazon
tech help,1,amazon
help person,1,amazon
got fed,1,amazon
band feature,1,amazon
abroad forget,1,amazon
find another,1,amazon
another phone,1,amazon
manufacturer unlocked,1,amazon
unlocked form,1,amazon
huge array,1,amazon
features built,1,amazon
phone last,1,amazon
using till,1,amazon
problem till,1,amazon
till now,1,amazon
good signal,1,amazon
main problem,2,amazon
used earlier,1,amazon
quick update,1,amazon
new zen,1,amazon
zen nx,7,amazon
edited review,1,amazon
review now,1,amazon
xtra gets,1,amazon
gets five,1,amazon
quickly revised,1,amazon
revised nx,1,amazon
player boasts,1,amazon
relatively intuitive,1,amazon
intuitive navigational,1,amazon
navigational system,1,amazon
categorizes based,1,amazon
id3 tags,20,amazon
sound widely,1,amazon
widely known,1,amazon
surprising considering,1,amazon
years creative,1,amazon
audio peripheral,1,amazon
peripheral business,1,amazon
xtra improves,1,amazon
improves upon,1,amazon
larger now,1,amazon
now blue,1,amazon
blue backlit,1,amazon
backlit screen,1,amazon
infinitely better,1,amazon
xtra doubles,1,amazon
maximum filecount,1,amazon
filecount capacity,1,amazon
16000 mp3,1,amazon
listen mostly,1,amazon
pop music,2,amazon
short ditties,1,amazon
zen xtra,46,amazon
xtra falls,1,amazon
falls short,1,amazon
200 worth,1,amazon
equivalent capacity,1,amazon
capacity model,1,amazon
ipod looks,1,amazon
carefully articulated,1,amazon
articulated urban,1,amazon
urban hipster,1,amazon
hipster persona,1,amazon
persona thats,1,amazon
thats become,1,amazon
become popular,1,amazon
200 premium,1,amazon
premium unless,1,amazon
just dying,1,amazon
music player,2,amazon
volkswagen beetle,1,amazon
urban outfitters,1,amazon
outfitters wardrobe,1,amazon
another purchase,1,amazon
dell jukebox,1,amazon
samsung napster,1,amazon
napster player,1,amazon
best deal,1,amazon
another reason,1,amazon
put wma,1,amazon
wma files,3,amazon
can sort,1,amazon
artist title,1,amazon
title album,1,amazon
play music,1,amazon
music based,1,amazon
software makes,2,amazon
makes everythig,1,amazon
everythig pretty,1,amazon
pretty easy,2,amazon
advertises 14,1,amazon
14 hours,5,amazon
still good,1,amazon
1 problem,1,amazon
accessories yet,1,amazon
player's interface,1,amazon
players just,1,amazon
remote will,1,amazon
will come,4,amazon
woth every,1,amazon
little concerned,1,amazon
black sheep,1,amazon
sheep buying,1,amazon
player instead,1,amazon
incredibly overpriced,1,amazon
overpriced apple,1,amazon
purchase one,1,amazon
one bit,1,amazon
never leave,1,amazon
leave home,1,amazon
home without,1,amazon
player well,1,amazon
pros software,1,amazon
use although,1,amazon
although redhat,1,amazon
redhat software,1,amazon
costs money,1,amazon
money much,1,amazon
much cheaper,1,amazon
pod good,1,amazon
good looking,1,amazon
looking player,2,amazon
player beautiful,1,amazon
beautiful blue,1,amazon
blue back,1,amazon
back lit,1,amazon
lit screen,1,amazon
viewing hole,1,amazon
get damaged,1,amazon
damaged scratched,1,amazon
scratched fast,1,amazon
fast transfer,1,amazon
transfer rate,1,amazon
yet cons,1,amazon
buy new,2,amazon
new headphones,2,amazon
stock ones,1,amazon
ones suck,1,amazon
suck hopefully,1,amazon
player will,1,amazon
herd mooooooh,1,amazon
smart save,1,amazon
xtra sounds,2,amazon
sounds great,4,amazon
good headphone,1,amazon
well recored,1,amazon
recored mp3s,1,amazon
bit tricky,1,amazon
takes getting,1,amazon
included pdf,1,amazon
pdf instructions,1,amazon
instructions cover,1,amazon
operation pretty,1,amazon
pretty well,1,amazon
8 ounces,1,amazon
pretty light,1,amazon
real plus,2,amazon
leather case,2,amazon
case another,1,amazon
another real,1,amazon
pc works,1,amazon
works easily,1,amazon
nice also,1,amazon
ipod killer,1,amazon
thing kicks,1,amazon
kicks mighty,1,amazon
mighty apple,1,amazon
apple butt,1,amazon
thing 4,1,amazon
full 5,1,amazon
like apple,1,amazon
business practices,1,amazon
practices screwing,1,amazon
screwing resellers,1,amazon
resellers customers,1,amazon
employees left,1,amazon
shopped around,3,amazon
something else,1,amazon
finally stumbling,1,amazon
stumbling upon,1,amazon
nx player,1,amazon
two main,2,amazon
main requirements,1,amazon
lower price,1,amazon
thing lasted,1,amazon
lasted well,1,amazon
100 cheaper,1,amazon
wonder just,1,amazon
much apple's,1,amazon
apple's markup,1,amazon
tip get,1,amazon
real pair,1,amazon
offer unless,1,amazon
good set,1,amazon
side instead,1,amazon
scroll wheel,13,amazon
big improvement,2,amazon
ipod touchpad,1,amazon
bit bigger,3,amazon
screen may,1,amazon
little smaller,1,amazon
overused blue,1,amazon
real complaint,2,amazon
complaint since,1,amazon
windows users,1,amazon
firewire cards,1,amazon
firewire plug,1,amazon
plug however,1,amazon
included leather,1,amazon
leather pouch,1,amazon
actually protects,1,amazon
unit well,1,amazon
well something,1,amazon
' carrying,1,amazon
carrying cases,1,amazon
cases ',1,amazon
' fail,1,amazon
audio devices,1,amazon
plusses changable,1,amazon
changable battery,1,amazon
battery loads,1,amazon
environments decent,1,amazon
decent construction,1,amazon
construction still,1,amazon
still quite,1,amazon
quite small,3,amazon
light despite,1,amazon
slightly bigger,1,amazon
actually change,1,amazon
silver metallic,1,amazon
metallic like,1,amazon
battery adapters,1,amazon
usb thumbdrive,1,amazon
thumbdrive muvo,1,amazon
muvo nx,1,amazon
nx mp3,1,amazon
mp3 player,42,amazon
player models,1,amazon
front plate,2,amazon
battery compartment,1,amazon
compartment aftermarket,1,amazon
aftermarket alternate,1,amazon
alternate covers,1,amazon
overall small,1,amazon
small sounds,1,amazon
less expensive,3,amazon
apple's overpriced,1,amazon
overpriced ipod,1,amazon
batteries last,1,amazon
last longer,1,amazon
month looking,1,amazon
good mp3,2,amazon
increadably high,1,amazon
high compared,1,amazon
models almost,1,amazon
almost 500,1,amazon
creative labs,7,amazon
labs zen,1,amazon
pay 300,1,amazon
used ever,1,amazon
understand despite,1,amazon
pod owners,1,amazon
owners say,1,amazon
name online,1,amazon
blue light,3,amazon
bright enough,1,amazon
dim enough,1,amazon
pod away,1,amazon
understand features,1,amazon
features software,1,amazon
great product,4,amazon
windows computer,1,amazon
within 5,1,amazon
5 minutes,2,amazon
transfer files,8,amazon
intuitive program,1,amazon
problems following,1,amazon
installation instructions,1,amazon
push straight,1,amazon
several play,1,amazon
play options,1,amazon
options one,1,amazon
shuffle based,1,amazon
certain playlist,1,amazon
can manage,3,amazon
manage playlists,1,amazon
fully windows,1,amazon
windows compatible,1,amazon
used right,1,amazon
windows pcs,1,amazon
also costs,1,amazon
pretty comfortable,1,amazon
comfortable stay,1,amazon
decent audio,1,amazon
audio quality,1,amazon
data storage,4,amazon
interfacing software,1,amazon
unacceptably bad,1,amazon
nomad jukebox,12,amazon
jukebox zen,7,amazon
xtra 30,1,amazon
30 gb,5,amazon
new computer,1,amazon
computer p4,1,amazon
windows xp,4,amazon
usb 2,12,amazon
os complained,1,amazon
instructions insisting,1,amazon
fairly automatic,1,amazon
usb drivers,1,amazon
nomad interface,1,amazon
interface software,2,amazon
software manually,2,amazon
nomad explorer,8,amazon
explorer software,1,amazon
software songs,1,amazon
cd ripping,4,amazon
ripping program,1,amazon
face plate,4,amazon
battery pops,1,amazon
pops open,1,amazon
every 10,1,amazon
10 minutes,2,amazon
player hangs,1,amazon
file transfer,4,amazon
transfer every,1,amazon
scroll button,10,amazon
overly sensitive,1,amazon
sensitive enough,1,amazon
always responsive,1,amazon
scroll bar,4,amazon
bar problems,1,amazon
problems make,1,amazon
creating playlists,3,amazon
positive side,1,amazon
everything configured,1,amazon
really push,1,amazon
audio aspects,1,amazon
disappointing product,1,amazon
setup process,1,amazon
sub par,2,amazon
player's mechanics,1,amazon
also flawed,1,amazon
portable mp,1,amazon
mp 3,1,amazon
3 player,1,amazon
good product,4,amazon
decide whether,2,amazon
40 gb,8,amazon
gb ipod,3,amazon
gb zen,2,amazon
ipod offer,1,amazon
offer maybe,1,amazon
enjoys music,1,amazon
hates carrying,1,amazon
carrying multiple,1,amazon
multiple cds,1,amazon
just transfered,1,amazon
40 cds,1,amazon
space left,1,amazon
one beef,1,amazon
great enjoy,1,amazon
replaceable battery,7,amazon
battery lets,1,amazon
lets zennx,1,amazon
zennx keep,1,amazon
keep running,2,amazon
zennx's replaceable,1,amazon
deciding factor,1,amazon
rechargeable batteries,2,amazon
batteries lose,1,amazon
holding power,1,amazon
around 2,1,amazon
apple's solution,1,amazon
solution pay,1,amazon
pay apple,1,amazon
apple another,1,amazon
another 400,1,amazon
new ipod,3,amazon
ipod less,1,amazon
paltry discount,1,amazon
zennx will,1,amazon
replacement battery,2,amazon
battery just,1,amazon
battery powered,1,amazon
powered appliance,1,amazon
easily overcome,1,amazon
3rd party,3,amazon
party earphones,1,amazon
earphones 20,1,amazon
software 25,1,amazon
red chair,2,amazon
chair software,2,amazon
explorer based,1,amazon
based program,1,amazon
enables simple,1,amazon
simple drag,1,amazon
drop transfer,1,amazon
music files,7,amazon
blue screen,1,amazon
screen display,1,amazon
zennx xtra,1,amazon
xtra model,1,amazon
toggle switch,1,amazon
still tricky,1,amazon
zennx's capacity,1,amazon
capacity price,1,amazon
price ratio,1,amazon
30g model,2,amazon
model 10,1,amazon
10 gig,1,amazon
gig trumps,1,amazon
trumps ipod's,1,amazon
ipod's 30g,1,amazon
model 14,1,amazon
14 gig,1,amazon
choosing zennx,1,amazon
new 400,1,amazon
400 ipod,1,amazon
ipod every,1,amazon
years versus,1,amazon
50 cost,1,amazon
replacing zennx's,1,amazon
zennx's rechargeable,1,amazon
rechargeable battery,2,amazon
zennx hopefully,1,amazon
hopefully will,1,amazon
will gain,1,amazon
gain market,1,amazon
market share,2,amazon
prompt arrogant,1,amazon
arrogant apple,1,amazon
lower prices,1,amazon
enable consumers,1,amazon
update apple,1,amazon
apple recently,1,amazon
recently announced,1,amazon
will replace,1,amazon
ipods shipped,1,amazon
lithium ion,1,amazon
ion rechargeable,1,amazon
300 500,1,amazon
500 rechargings,1,amazon
battery lifespan,1,amazon
lifespan will,1,amazon
will vary,1,amazon
vary according,1,amazon
still apple,1,amazon
apple continues,1,amazon
squeeze dollars,1,amazon
terrific mp3,1,amazon
player great,1,amazon
new nomad,1,amazon
lug around,1,amazon
around 80,1,amazon
80 cds,2,amazon
biking home,1,amazon
looking pretty,1,amazon
pretty cool,3,amazon
30 gig,1,amazon
gig ipod,3,amazon
60gb nomad,1,amazon
ipod simply,1,amazon
simply pales,1,amazon
within 30,1,amazon
30 minutes,3,amazon
didnt know,1,amazon
carrying case,4,amazon
really protective,1,amazon
need except,1,amazon
except good,1,amazon
good headphones,1,amazon
thing seems,1,amazon
normal mp3,1,amazon
invest 30,1,amazon
30 dollars,1,amazon
nice pair,1,amazon
quality goes,1,amazon
sexy cool,1,amazon
cool accessory,1,amazon
accessory availible,1,amazon
availible mp3,1,amazon
means get,1,amazon
hundred dollars,2,amazon
holds 1,1,amazon
great mp3,2,amazon
player get,1,amazon
best electronic,1,amazon
bought since,1,amazon
just sold,1,amazon
archos 20gb,1,amazon
20gb jukebox,1,amazon
jukebox recorder,4,amazon
slow loading,1,amazon
loading amp,1,amazon
amp difficult,1,amazon
difficult navigation,2,amazon
froze quite,1,amazon
new item,1,amazon
new mp3,2,amazon
player harddrive,1,amazon
early christmas,1,amazon
xtra 40,2,amazon
gb player,2,amazon
apple name,1,amazon
closest alternative,1,amazon
xtra 40gb,2,amazon
40gb mp3,1,amazon
will just,1,amazon
just say,2,amazon
never go,1,amazon
go back,1,amazon
night trying,1,amazon
just easily,1,amazon
easily drag,1,amazon
drop files,2,amazon
easily alter,1,amazon
alter id,1,amazon
id tags,1,amazon
music according,1,amazon
artist song,2,amazon
song title,2,amazon
title genre,1,amazon
genre etc,1,amazon
runs super,1,amazon
super smooth,1,amazon
smooth amp,1,amazon
amp fast,1,amazon
also eye,1,amazon
eye candy,1,amazon
sleek amp,1,amazon
amp stylish,1,amazon
screen options,1,amazon
pretty nice,1,amazon
nice similar,1,amazon
pda style,1,amazon
style case,1,amazon
buttons amp,1,amazon
amp neccessary,1,amazon
neccessary lil,1,amazon
lil ',1,amazon
' gadgets,1,amazon
also nice,1,amazon
sony headphones,1,amazon
headphones instead,1,amazon
factory earbuds,1,amazon
sound options,1,amazon
equalizer almost,1,amazon
like winamp,1,amazon
finding files,1,amazon
also navigating,1,amazon
playing music,2,amazon
plus unlike,1,amazon
previous player,2,amazon
screen saver,1,amazon
saver feature,1,amazon
pretty sweet,1,amazon
sweet another,1,amazon
another plus,1,amazon
file limits,1,amazon
999 files,1,amazon
archos ',1,amazon
' os,1,amazon
os now,1,amazon
2000 files,1,amazon
nice job,1,amazon
job mixing,1,amazon
10 gigs,1,amazon
music stored,1,amazon
media files,1,amazon
data folder,1,amazon
can transport,1,amazon
transport files,1,amazon
friends house,1,amazon
computer like,2,amazon
massive transfer,1,amazon
one load,1,amazon
little device,1,amazon
costs 500,1,amazon
got mine,2,amazon
new player,2,amazon
now going,1,amazon
best choice,1,amazon
current archos,1,amazon
install properly,1,amazon
living hell,1,amazon
hell experience,1,amazon
cd just,1,amazon
many problems,1,amazon
win xp,1,amazon
online download,1,amazon
fantastic piece,1,amazon
getting files,1,amazon
files onto,1,amazon
holds sooooo,1,amazon
sooooo much,1,amazon
much music,2,amazon
audio files,3,amazon
music demands,1,amazon
pretty intense,1,amazon
demands without,1,amazon
aweful earphones,1,amazon
least put,1,amazon
good pair,2,amazon
several days,2,amazon
last mp3,1,amazon
mp3 player's,1,amazon
player's screen,1,amazon
screen drove,1,amazon
best bang,1,amazon
ipod competition,1,amazon
whole zen,1,amazon
zen line,2,amazon
fairly innovative,1,amazon
reasonably priced,1,amazon
really appropriate,2,amazon
ipods although,1,amazon
still way,1,amazon
talking totally,1,amazon
totally different,1,amazon
different hardware,1,amazon
zens use,1,amazon
standard notebook,1,amazon
notebook drive,1,amazon
players like,2,amazon
rca jukebox,1,amazon
whole line,1,amazon
archos players,2,amazon
newer ones,1,amazon
bit better,1,amazon
original archos,1,amazon
archos jukeboxes,1,amazon
20 gig,2,amazon
gig jukebox,1,amazon
60 gig,2,amazon
gig drive,1,amazon
powered portable,1,amazon
portable usb,1,amazon
0 drive,1,amazon
ipod uses,2,amazon
expensive drive,1,amazon
drive 1,1,amazon
devices competing,1,amazon
iriver ihp,4,amazon
ihp 120,2,amazon
rio karma,4,amazon
philips hdd100,2,amazon
new rio,1,amazon
reviewed readily,1,amazon
ipod still,1,amazon
still goes,1,amazon
huge difference,2,amazon
difference especially,1,amazon
believe people,1,amazon
people continue,1,amazon
advertising pays,1,amazon
doubt anyone,1,amazon
zen 5,1,amazon
different class,1,amazon
personal favorite,1,amazon
zen usb,1,amazon
upgraded 60,1,amazon
gig archos,1,amazon
archos jukebox,2,amazon
often see,1,amazon
see ipodders,1,amazon
ipodders bashing,1,amazon
bashing every,1,amazon
knowing anything,1,amazon
spent 120,1,amazon
can feel,1,amazon
feel better,1,amazon
better thing,1,amazon
ipod vs,1,amazon
vs nomad,1,amazon
nomad zen,7,amazon
originally purchase,1,amazon
gb nomad,1,amazon
portable mp3,1,amazon
dissapointments transfering,1,amazon
completely transfer,1,amazon
transfer via,1,amazon
via usb,5,amazon
transfer 30,1,amazon
500 transfered,1,amazon
nice idea,1,amazon
keep less,1,amazon
less clutter,1,amazon
sometimes get,1,amazon
get stuck,2,amazon
keep scrolling,1,amazon
size bigger,1,amazon
ipod software,1,amazon
software music,1,amazon
music match,1,amazon
match jukebox,1,amazon
search funtion,1,amazon
fast even,2,amazon
hotkey shortcut,1,amazon
transer issue,1,amazon
40 gig,1,amazon
song transfers,1,amazon
16 gigs,1,amazon
15 minutes,3,amazon
minutes without,1,amazon
errors via,1,amazon
via firewire,1,amazon
little quirky,1,amazon
still operates,1,amazon
operates better,1,amazon
attractable piece,1,amazon
casing scratches,1,amazon
little easy,1,amazon
glove cases,1,amazon
cases work,1,amazon
work great,2,amazon
sound adjustments,1,amazon
normal eax,1,amazon
eax features,2,amazon
versatile program,1,amazon
probably go,1,amazon
adminstrative user,1,amazon
user account,1,amazon
account windows,1,amazon
got every,1,amazon
every song,1,amazon
player within,2,amazon
download everything,1,amazon
950 songs,1,amazon
really love,2,amazon
tad bulky,1,amazon
asthetic looking,1,amazon
folder stucture,1,amazon
pro way,1,amazon
way less,1,amazon
opinions personally,1,amazon
remote interface,1,amazon
audigy 2,2,amazon
2 nx,1,amazon
actually gives,1,amazon
previous playlist,1,amazon
play another,1,amazon
another list,1,amazon
manually clear,1,amazon
new list,1,amazon
except one,1,amazon
one con,2,amazon
stores files,2,amazon
folder structure,3,amazon
songs many,1,amazon
chinese songs,1,amazon
actual chinese,1,amazon
chinese names,1,amazon
current language,1,amazon
language selection,1,amazon
english even,1,amazon
menu supports,1,amazon
supports chinese,1,amazon
track info,1,amazon
different names,2,amazon
overwrite another,1,amazon
another song,2,amazon
titles accordingly,1,amazon
accordingly maybe,1,amazon
would've still,1,amazon
still bought,1,amazon
drive even,1,amazon
issue beforehand,1,amazon
spent editing,1,amazon
should've done,1,amazon
pretty painless,1,amazon
start sending,1,amazon
sending files,2,amazon
files it'll,1,amazon
it'll continue,1,amazon
can skip,1,amazon
skip skip,1,amazon
replace replace,1,amazon
chose one,1,amazon
two transfer,1,amazon
transfer batches,1,amazon
batches first,1,amazon
english songs,1,amazon
foreign languages,1,amazon
errors aside,1,amazon
duplicate name,2,amazon
previous review,1,amazon
30 songs,1,amazon
course unlike,1,amazon
will mention,1,amazon
1 23,1,amazon
upgrade without,1,amazon
newer drivers,1,amazon
flaky crashing,1,amazon
explorer twice,1,amazon
twice within,1,amazon
first hour,1,amazon
another reboot,1,amazon
crashed since,1,amazon
already dropped,1,amazon
upper back,1,amazon
back right,2,amazon
lower back,1,amazon
right corners,1,amazon
obvious unless,1,amazon
30gb xtra,1,amazon
weeks ago,1,amazon
19gb left,1,amazon
200 cd's,2,amazon
borrow cd's,1,amazon
even come,1,amazon
come close,1,amazon
learn amp,1,amazon
amp use,1,amazon
intuitive enough,1,amazon
besides user,1,amazon
user error,1,amazon
error surprise,1,amazon
surprise surprise,1,amazon
imagine people,1,amazon
ripping amp,1,amazon
amp transferring,1,amazon
transferring tunes,1,amazon
pretty fast,1,amazon
1 usb,2,amazon
people also,1,amazon
good protection,1,amazon
looks cool,2,amazon
cool screen,2,amazon
battery means,1,amazon
major advantage,1,amazon
ipod besides,1,amazon
everyone knows,1,amazon
good customization,1,amazon
customization options,1,amazon
well sound,1,amazon
sound presets,1,amazon
presets navigating,1,amazon
navigating options,1,amazon
options playlists,1,amazon
playlists etc,1,amazon
just put,1,amazon
shuffle sit,1,amazon
eclectic mix,1,amazon
almost 3,1,amazon
3 000,2,amazon
000 tunes,1,amazon
tunes offer,1,amazon
quality longevity,1,amazon
forward button,1,amazon
button works,1,amazon
extra pressure,1,amazon
urgent issue,1,amazon
pretty sensitive,1,amazon
already emailed,1,amazon
emailed creative,1,amazon
creative tech,4,amazon
gotten timely,1,amazon
timely responses,1,amazon
will fix,2,amazon
little bigger,1,amazon
go jogging,1,amazon
jogging anyway,1,amazon
still fits,2,amazon
use mine,1,amazon
cassette adapter,2,amazon
flight back,1,amazon
back east,1,amazon
better headphones,1,amazon
like alhthough,1,amazon
alhthough 128kb,1,amazon
128kb sounds,1,amazon
sounds just,3,amazon
just dandy,1,amazon
tunes stored,1,amazon
line great,1,amazon
product unbeatable,1,amazon
unbeatable price,2,amazon
160 less,1,amazon
ipod 30gb,1,amazon
30gb got,1,amazon
extra 30,1,amazon
