word,count,dataset
gone byon,1,metoo
relyi rebuilt,1,metoo
family lifeever,1,metoo
lifeever gratefuli,1,metoo
longeryour wifeas,1,metoo
flowi watched,1,metoo
2 young,1,metoo
young men,2,metoo
men growlove,1,metoo
knowvengeful words,1,metoo
will never,28,metoo
never sowi,1,metoo
sowi see,1,metoo
see todayas,1,metoo
look backon,1,metoo
maymy family,1,metoo
family startedin,1,metoo
horrific waybut,1,metoo
uswalked awayit,1,metoo
heartthe 3,1,metoo
us knewif,1,metoo
knewif love,1,metoo
smaller familywould,1,metoo
familywould grow,1,metoo
grow anew,1,metoo
done protecting,1,metoo
male family,3,metoo
family member,24,metoo
blood related,1,metoo
similar age,1,metoo
first kiss,2,metoo
kiss yet,1,metoo
incredibly shy,1,metoo
late luckily,1,metoo
forced penetration,2,metoo
felt responsible,1,metoo
many years,21,metoo
also encountered,1,metoo
encountered sexual,1,metoo
sexual harassment,31,metoo
almost every,4,metoo
every job,1,metoo
weinstein trump,1,metoo
trump type,1,metoo
boss constantly,1,metoo
constantly came,1,metoo
dressing room,1,metoo
various undergarments,1,metoo
breast asked,1,metoo
15 minutes,2,metoo
staff meeting,1,metoo
meeting telling,1,metoo
replaced immediately,1,metoo
everyone thought,1,metoo
also worked,2,metoo
public works,1,metoo
works department,1,metoo
female boss,1,metoo
living hell,1,metoo
office one,1,metoo
one day,32,metoo
female co,2,metoo
co worker,9,metoo
request even,1,metoo
even though,20,metoo
never wore,2,metoo
boss denied,1,metoo
denied saying,1,metoo
never tried,2,metoo
sue anyone,1,metoo
anyone instead,1,metoo
just quit,2,metoo
truly hope,1,metoo
every type,1,metoo
many women,14,metoo
women breaking,1,metoo
stage looks,1,metoo
looks like,6,metoo
case will,1,metoo
stepfather sacked,1,metoo
got another,1,metoo
another one,1,metoo
detective rang,1,metoo
lawyer needs,1,metoo
needs time,1,metoo
everything just,1,metoo
just want,11,metoo
several years,5,metoo
years now,7,metoo
3 weeks,4,metoo
weeks ago,7,metoo
just found,1,metoo
family wants,1,metoo
bad right,1,metoo
right now,12,metoo
one year,1,metoo
year ago,9,metoo
study forensic,1,metoo
forensic science,1,metoo
never knew,6,metoo
dramatically change,1,metoo
change going,1,metoo
sexually assaulted,31,metoo
academic probation,1,metoo
probation even,1,metoo
nine months,2,metoo
months ago,7,metoo
longer felt,3,metoo
felt safe,5,metoo
safe almost,1,metoo
month ago,2,metoo
community college,1,metoo
criminal justice,2,metoo
3 times,6,metoo
times incest,1,metoo
incest survivor,1,metoo
survivor raped,1,metoo
sexually harassed,24,metoo
many bosses,1,metoo
done extensive,1,metoo
extensive healing,1,metoo
now happy,1,metoo
kinda like,1,metoo
still struggling,1,metoo
painful now,1,metoo
dear precious,1,metoo
precious one,1,metoo
one stay,1,metoo
stay determined,1,metoo
say happy,1,metoo
best revenge,1,metoo
revenge love,1,metoo
15 years,12,metoo
older brother,11,metoo
washington homeless,1,metoo
mom dad,1,metoo
brother flew,1,metoo
2 kids,1,metoo
never met,7,metoo
2 years,18,metoo
tell anybody,2,metoo
5 year,3,metoo
old niece,1,metoo
acted normal,1,metoo
normal like,1,metoo
like nothing,2,metoo
say stop,3,metoo
stop even,1,metoo
help hide,1,metoo
thought life,1,metoo
cali untill,1,metoo
still live,1,metoo
cali life,1,metoo
amazing boyfriend,1,metoo
doesnt even,1,metoo
nothing happens,1,metoo
2018 may,1,metoo
find peace,1,metoo
peace purposeand,1,metoo
purposeand may,1,metoo
know love,1,metoo
wishing every,1,metoo
every one,8,metoo
2018 xx,1,metoo
finally found,1,metoo
found enough,1,metoo
enough courage,1,metoo
still strong,1,metoo
big weight,1,metoo
blessed life,1,metoo
life full,1,metoo
wonderful experiences,1,metoo
experiences great,1,metoo
great friends,1,metoo
deliriously happy,1,metoo
loving husband,1,metoo
husband mack,1,metoo
overwhelmingly positive,1,metoo
positive yet,1,metoo
sexual assaults,6,metoo
poor treatment,1,metoo
madrid spain,1,metoo
spain 1957,1,metoo
younger brother,4,metoo
boyfriend arrived,2,metoo
one point,3,metoo
later threw,1,metoo
little brother,6,metoo
swimming pool,1,metoo
didn’t swim,1,metoo
dog paddle,1,metoo
don’t know,11,metoo
alcalá de,1,metoo
de henares,1,metoo
henares spain,1,metoo
spain 1958,1,metoo
friend’s house,1,metoo
grandfather picked,1,metoo
dress fell,1,metoo
fell back,1,metoo
back moved,1,metoo
laughing almost,1,metoo
total loss,1,metoo
period running,1,metoo
fort worth,1,metoo
worth texas,1,metoo
texas 1962,1,metoo
friend next,1,metoo
next door,10,metoo
door tried,1,metoo
one morning,1,metoo
watching cartoons,1,metoo
house mansfield,1,metoo
mansfield texas,1,metoo
texas 1966,1,metoo
boyfriend tried,1,metoo
got away,11,metoo
still passed,1,metoo
rumor around,1,metoo
wanted summer,1,metoo
summer 1969,1,metoo
pre teen,2,metoo
teen female,1,metoo
female cousin,2,metoo
well liked,1,metoo
liked older,1,metoo
older uncle,1,metoo
kid fortunately,1,metoo
mother believed,2,metoo
didn’t appreciate,1,metoo
ever done,5,metoo
favorite cousin,1,metoo
brother frequently,1,metoo
frequently paid,1,metoo
asleep since,1,metoo
“just pretend,1,metoo
everything will,1,metoo
okay ”,3,metoo
means stay,1,metoo
stay quiet,3,metoo
majorca spain,1,metoo
spain 1970,1,metoo
broad daylight,2,metoo
public beach,1,metoo
2 spanish,1,metoo
spanish males,1,metoo
us began,1,metoo
began swimming,1,metoo
swimming nearby,1,metoo
large rocks,1,metoo
us removed,1,metoo
began masturbating,2,metoo
1979 first,1,metoo
didn’t marry,1,metoo
ago back,1,metoo
coed working,1,metoo
reasonable number,1,metoo
conventional dates,1,metoo
great experiences,1,metoo
several dates,1,metoo
dates attempted,1,metoo
seeming nice,1,metoo
nice guys,1,metoo
good families,1,metoo
every way,2,metoo
way looked,1,metoo
outside like,1,metoo
like normal,3,metoo
normal everyday,1,metoo
everyday decent,1,metoo
decent guys,1,metoo
strong armed,1,metoo
now called,1,metoo
called “date,1,metoo
“date rape”,1,metoo
rape” dallas,1,metoo
dallas texas,3,metoo
texas 1972,1,metoo
1972 76,1,metoo
76 jobs,1,metoo
usually found,1,metoo
classified ads,1,metoo
town newspapers,1,metoo
newspapers throughout,1,metoo
u s,3,metoo
typical ad,1,metoo
ad regardless,1,metoo
read office,1,metoo
office clerk,1,metoo
clerk wanted,1,metoo
wanted must,1,metoo
must type,1,metoo
type 40,1,metoo
40 wpm,1,metoo
attractive white,1,metoo
white female,1,metoo
female 18,1,metoo
18 23,1,metoo
23 years,4,metoo
old height,1,metoo
height weight,1,metoo
weight proportionate,1,metoo
proportionate need,1,metoo
need apply,1,metoo
apply keesler,1,metoo
keesler air,1,metoo
air force,1,metoo
force base,1,metoo
base biloxi,1,metoo
biloxi mississippi,1,metoo
mississippi 1973,1,metoo
two unknown,1,metoo
unknown men,1,metoo
girl friend,2,metoo
around 7,2,metoo
7 pm,1,metoo
far away,4,metoo
rapes going,1,metoo
time richardson,1,metoo
richardson texas,1,metoo
texas 1979,2,metoo
freezing snow,1,metoo
often spoken,1,metoo
making bread,1,metoo
just brewed,1,metoo
warm ‘cuppa’,1,metoo
go back,12,metoo
free right,1,metoo
right hand,1,metoo
giant butcher,1,metoo
butcher knife,1,metoo
throat looking,1,metoo
just said,2,metoo
said “let’s,1,metoo
postmaster general,1,metoo
sent 2,1,metoo
2 investigators,1,metoo
lot asking,1,metoo
re enact,1,metoo
every turn,1,metoo
learned later,2,metoo
merely assigned,1,metoo
different zip,1,metoo
zip code,1,metoo
also learned,1,metoo
apartment management,1,metoo
7 women,1,metoo
complex alone,1,metoo
alone dallas,1,metoo
1979 right,1,metoo
starry eyed,1,metoo
particularly interested,1,metoo
prospective employer,1,metoo
employer came,1,metoo
came around,1,metoo
whole idea,2,metoo
career hunting,1,metoo
apartment give,1,metoo
new car,1,metoo
beet red,1,metoo
red trying,1,metoo
get back,4,metoo
hold back,2,metoo
back tears,1,metoo
dismay dallas,1,metoo
texas 1984,1,metoo
former college,1,metoo
college professor,1,metoo
mine gave,1,metoo
rode along,1,metoo
along talking,1,metoo
ordinary things,1,metoo
better put,1,metoo
“thing” away,1,metoo
get away,8,metoo
disturbing san,1,metoo
san antonio,2,metoo
antonio texas,1,metoo
texas 1992,1,metoo
older man,9,metoo
temporary arrangement,1,metoo
getting ready,2,metoo
next day,18,metoo
man knocked,1,metoo
often talked,1,metoo
suddenly grabbed,1,metoo
amazing though,1,metoo
tried hard,1,metoo
told anyone,21,metoo
must tell,1,metoo
firmly believe,1,metoo
felt empowered,1,metoo
young age,10,metoo
prevented many,1,metoo
men especially,1,metoo
date rape,8,metoo
rape issue,1,metoo
many young,2,metoo
young people,1,metoo
people male,1,metoo
female come,1,metoo
feel okay,1,metoo
watched people,1,metoo
people go,1,metoo
women coming,1,metoo
see going,1,metoo
going women,1,metoo
women wearing,1,metoo
wearing today,1,metoo
look banging,1,metoo
feel good,3,metoo
take delight,1,metoo
different way,1,metoo
way now,1,metoo
called sexy,1,metoo
sexy mature,1,metoo
mature however,1,metoo
biggest moment,1,metoo
first grade,1,metoo
god father,2,metoo
new house,1,metoo
stone drive,1,metoo
car stopped,1,metoo
girl today,1,metoo
something bad,2,metoo
white tiles,1,metoo
pool table,1,metoo
table feeling,1,metoo
grinding don’t,1,metoo
don’t tell,1,metoo
deputy sheriff,1,metoo
finally told,13,metoo
bridal dance,1,metoo
dance couldn’t,1,metoo
couldn’t anyone,1,metoo
anyone see,1,metoo
just 13,2,metoo
13 long,1,metoo
long time,27,metoo
time ago,11,metoo
ago since,1,metoo
changed girls,1,metoo
still thretened,1,metoo
movement will,3,metoo
will make,2,metoo
mans world,1,metoo
cat calls,3,metoo
calls rude,1,metoo
rude comments,1,metoo
comments dirty,1,metoo
dirty movies,1,metoo
movies shown,1,metoo
firemen grabbing,1,metoo
force kissing,1,metoo
kept placing,1,metoo
rear end,1,metoo
end every,1,metoo
turned around,3,metoo
really think,4,metoo
go home,9,metoo
home cause,1,metoo
filthy jokes,1,metoo
go work,1,metoo
car accident,2,metoo
physical exam,1,metoo
firemen watched,1,metoo
watched porno,1,metoo
jolly volly,1,metoo
volly fire,1,metoo
fire department,2,metoo
full time,2,metoo
time city,1,metoo
city paid,1,metoo
paid department,1,metoo
debating whether,1,metoo
fearing possible,1,metoo
possible retaliation,1,metoo
well received,1,metoo
say something,9,metoo
much support,2,metoo
love y'all,1,metoo
believing problem,1,metoo
especially bad,1,metoo
male victims,3,metoo
many men,10,metoo
women say,1,metoo
ever heard,1,metoo
people actually,1,metoo
actually believed,1,metoo
bat recently,1,metoo
cj classes,2,metoo
sex crime,1,metoo
crime victims,1,metoo
woman blatantly,1,metoo
blatantly said,1,metoo
men always,2,metoo
always enjoy,1,metoo
woman forces,1,metoo
rape since,1,metoo
overpower obviously,1,metoo
really upset,1,metoo
weeks prior,1,metoo
male student,2,metoo
one believed,4,metoo
many people,17,metoo
people called,1,metoo
every chance,4,metoo
wore shorts,1,metoo
work outside,1,metoo
within dress,1,metoo
dress code,1,metoo
first time,37,metoo
two female,1,metoo
female coworkers,1,metoo
coworkers started,1,metoo
started touching,5,metoo
knees without,1,metoo
without consent,3,metoo
got upset,2,metoo
reacted like,1,metoo
male coworker,5,metoo
should've enjoyed,1,metoo
white house,1,metoo
can‘t tell,1,metoo
tell us,2,metoo
10 minutes,2,metoo
also say,1,metoo
namethose perverts,1,metoo
law let,1,metoo
adoptive parents,1,metoo
official position,1,metoo
stolen everything,1,metoo
true spirit,3,metoo
needed help,3,metoo
violence starving,1,metoo
starving servere,1,metoo
servere serious,1,metoo
serious neglect,1,metoo
abuse first,1,metoo
first plastic,1,metoo
plastic christmas,1,metoo
christmas tree,1,metoo
everything thank,2,metoo
support also,1,metoo
pressure raped,1,metoo
raped women,1,metoo
never wish,2,metoo
support rape,1,metoo
will enjoy,1,metoo
enjoy cristmas,1,metoo
