,topic,word,count,prop,score
102,1,walk,32,0.006673618352450469,0.43399
103,1,walk,32,0.006673618352450469,0.48299
104,1,standing,17,0.003545359749739312,-0.21372
105,1,standing,17,0.003545359749739312,0.08459
106,1,boy,25,0.005213764337851929,0.25627
107,1,girl,78,0.01626694473409802,0.5773699999999999
108,1,interested,8,0.0016684045881126173,0.48373999999999995
109,1,poor,5,0.0010427528675703858,-0.33378
110,1,poor,5,0.0010427528675703858,0.0
112,1,middle,21,0.004379562043795621,0.0
113,1,middle,21,0.004379562043795621,0.0
114,1,middle,21,0.004379562043795621,0.0
115,1,town,24,0.005005213764337852,0.0
116,1,making,26,0.005422314911366006,0.0
117,1,twin,2,0.0004171011470281543,0.0
118,1,twin,2,0.0004171011470281543,0.0
119,1,twin,2,0.0004171011470281543,0.17672000000000002
120,1,face,49,0.010218978102189781,0.3422
121,1,face,49,0.010218978102189781,0.34417
122,1,drunken,2,0.0004171011470281543,-0.45986000000000005
123,1,thankful,7,0.00145985401459854,0.71131
125,1,park,11,0.0022940563086548487,0.0
126,1,park,11,0.0022940563086548487,0.0
128,1,windows,1,0.00020855057351407716,0.0
129,1,air,5,0.0010427528675703858,0.0
130,1,air,5,0.0010427528675703858,0.47951000000000005
131,1,safe,21,0.004379562043795621,0.67085
132,1,safe,21,0.004379562043795621,0.66125
134,1,sofa,2,0.0004171011470281543,0.0
137,1,reaching,2,0.0004171011470281543,0.0
138,1,slap,6,0.001251303441084463,0.0
139,1,slap,6,0.001251303441084463,0.0
140,1,slap,6,0.001251303441084463,0.0
141,1,fast,8,0.0016684045881126173,0.27532
142,1,fast,8,0.0016684045881126173,0.0
143,1,fast,8,0.0016684045881126173,0.0
144,1,fast,8,0.0016684045881126173,0.0
145,1,side,7,0.00145985401459854,0.0
146,1,side,7,0.00145985401459854,0.08868
147,1,side,7,0.00145985401459854,0.0
148,1,screw,2,0.0004171011470281543,0.0
149,1,screw,2,0.0004171011470281543,0.02665
150,1,trapped,6,0.001251303441084463,0.0
