topic,word,count,prop,score,x,y,helper,expected,expected_scaled
8,describe,5,0.00166113,0,79.30247074,151.1568297,0,0.105768871,1
8,article,7,0.002325581,0,79.30247074,151.1568297,0,0.105768871,1
8,terms,8,0.002657807,0,79.30247074,151.1568297,0,0.105768871,1
8,thread,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,apply,3,9.97E-04,0.01233,79.30247074,151.1568297,1.23E-05,0.105768871,1
8,sense,19,0.006312292,0.307505,79.30247074,151.1568297,0.001941061,0.105768871,1
8,decision,6,0.001993355,0.15107,79.30247074,151.1568297,3.01E-04,0.105768871,1
8,setting,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,compassion,2,6.64E-04,0.75663,79.30247074,151.1568297,5.03E-04,0.105768871,1
8,revenge,2,6.64E-04,-0.566485,79.30247074,151.1568297,-3.76E-04,0.105768871,1
8,private,10,0.003322259,0.10969,79.30247074,151.1568297,3.64E-04,0.105768871,1
8,closed,12,0.003986711,-0.26602,79.30247074,151.1568297,-0.001060545,0.105768871,1
8,division,3,9.97E-04,-0.1192,79.30247074,151.1568297,-1.19E-04,0.105768871,1
8,mental,12,0.003986711,-0.11308,79.30247074,151.1568297,-4.51E-04,0.105768871,1
8,spreading,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,suspect,2,6.64E-04,-0.655223333,79.30247074,151.1568297,-4.35E-04,0.105768871,1
8,hear,19,0.006312292,0,79.30247074,151.1568297,0,0.105768871,1
8,view,4,0.001328904,0.45498,79.30247074,151.1568297,6.05E-04,0.105768871,1
8,project,9,0.002990033,0,79.30247074,151.1568297,0,0.105768871,1
8,darkness,2,6.64E-04,-0.03216,79.30247074,151.1568297,-2.14E-05,0.105768871,1
8,colleague,2,6.64E-04,0.05263,79.30247074,151.1568297,3.50E-05,0.105768871,1
8,sharing,30,0.009966777,0.03478,79.30247074,151.1568297,3.47E-04,0.105768871,1
8,painful,16,0.005315615,-0.58894,79.30247074,151.1568297,-0.003130578,0.105768871,1
8,win,5,0.00166113,0.507385,79.30247074,151.1568297,8.43E-04,0.105768871,1
8,sitting,5,0.00166113,-0.083885,79.30247074,151.1568297,-1.39E-04,0.105768871,1
8,shared,25,0.008305648,0.10554,79.30247074,151.1568297,8.77E-04,0.105768871,1
8,numbers,7,0.002325581,0,79.30247074,151.1568297,0,0.105768871,1
8,comfort,5,0.00166113,0.53052,79.30247074,151.1568297,8.81E-04,0.105768871,1
8,afraid,10,0.003322259,-0.66386,79.30247074,151.1568297,-0.002205515,0.105768871,1
8,posted,11,0.003654485,0,79.30247074,151.1568297,0,0.105768871,1
8,personal,27,0.0089701,0.11777,79.30247074,151.1568297,0.001056409,0.105768871,1
8,page,25,0.008305648,0,79.30247074,151.1568297,0,0.105768871,1
8,react,6,0.001993355,0,79.30247074,151.1568297,0,0.105768871,1
8,shock,2,6.64E-04,-0.2999,79.30247074,151.1568297,-1.99E-04,0.105768871,1
8,bold,4,0.001328904,0.21523,79.30247074,151.1568297,2.86E-04,0.105768871,1
8,deeply,5,0.00166113,0,79.30247074,151.1568297,0,0.105768871,1
8,glad,16,0.005315615,0.32993,79.30247074,151.1568297,0.001753781,0.105768871,1
8,empowerment,4,0.001328904,0,79.30247074,151.1568297,0,0.105768871,1
8,driveway,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,gross,2,6.64E-04,-0.155966667,79.30247074,151.1568297,-1.04E-04,0.105768871,1
8,pains,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,strength,14,0.004651163,0.42385,79.30247074,151.1568297,0.001971395,0.105768871,1
8,original,6,0.001993355,0.63898,79.30247074,151.1568297,0.001273714,0.105768871,1
8,publicly,9,0.002990033,0,79.30247074,151.1568297,0,0.105768871,1
8,top,2,6.64E-04,0.10105,79.30247074,151.1568297,6.71E-05,0.105768871,1
8,status,10,0.003322259,0,79.30247074,151.1568297,0,0.105768871,1
8,anonymously,3,9.97E-04,-0.28345,79.30247074,151.1568297,-2.83E-04,0.105768871,1
8,blog,8,0.002657807,0,79.30247074,151.1568297,0,0.105768871,1
8,teaching,2,6.64E-04,0.18831,79.30247074,151.1568297,1.25E-04,0.105768871,1
8,hearts,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,shaped,4,0.001328904,0.1067,79.30247074,151.1568297,1.42E-04,0.105768871,1
8,affection,2,6.64E-04,0.7106,79.30247074,151.1568297,4.72E-04,0.105768871,1
8,sending,7,0.002325581,-0.07997,79.30247074,151.1568297,-1.86E-04,0.105768871,1
8,ways,4,0.001328904,0,79.30247074,151.1568297,0,0.105768871,1
8,attached,3,9.97E-04,0.01987,79.30247074,151.1568297,1.98E-05,0.105768871,1
8,resilience,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,earn,2,6.64E-04,0.46527,79.30247074,151.1568297,3.09E-04,0.105768871,1
8,effects,3,9.97E-04,-0.07997,79.30247074,151.1568297,-7.97E-05,0.105768871,1
8,forum,9,0.002990033,0,79.30247074,151.1568297,0,0.105768871,1
8,inspiring,5,0.00166113,0.21734,79.30247074,151.1568297,3.61E-04,0.105768871,1
8,reach,7,0.002325581,0.178695,79.30247074,151.1568297,4.16E-04,0.105768871,1
8,ultimately,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,extent,5,0.00166113,0,79.30247074,151.1568297,0,0.105768871,1
8,ordinary,2,6.64E-04,-0.01592,79.30247074,151.1568297,-1.06E-05,0.105768871,1
8,record,8,0.002657807,0.233825,79.30247074,151.1568297,6.21E-04,0.105768871,1
8,scheduled,2,6.64E-04,0.12208,79.30247074,151.1568297,8.11E-05,0.105768871,1
8,joined,4,0.001328904,0,79.30247074,151.1568297,0,0.105768871,1
8,honest,5,0.00166113,0.75695,79.30247074,151.1568297,0.001257392,0.105768871,1
8,ongoing,4,0.001328904,0,79.30247074,151.1568297,0,0.105768871,1
8,aware,6,0.001993355,0.45985,79.30247074,151.1568297,9.17E-04,0.105768871,1
8,syndrome,3,9.97E-04,-0.13398,79.30247074,151.1568297,-1.34E-04,0.105768871,1
8,secrecy,3,9.97E-04,-0.16491,79.30247074,151.1568297,-1.64E-04,0.105768871,1
8,foundation,4,0.001328904,0,79.30247074,151.1568297,0,0.105768871,1
8,haven,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,retreat,4,0.001328904,-0.037815,79.30247074,151.1568297,-5.03E-05,0.105768871,1
8,block,5,0.00166113,-0.128525,79.30247074,151.1568297,-2.13E-04,0.105768871,1
8,overdose,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,joining,4,0.001328904,0,79.30247074,151.1568297,0,0.105768871,1
8,rabbit,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,questioning,5,0.00166113,0.08443,79.30247074,151.1568297,1.40E-04,0.105768871,1
8,french,4,0.001328904,0,79.30247074,151.1568297,0,0.105768871,1
8,ignorant,3,9.97E-04,-0.45899,79.30247074,151.1568297,-4.57E-04,0.105768871,1
8,chapter,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,writer,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,links,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,curious,2,6.64E-04,0.37139,79.30247074,151.1568297,2.47E-04,0.105768871,1
8,selling,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
