"","word","dataset","prop"
"164","reacted","metoo",6.86518493091908e-05
"165","brother","metoo",0.00125289624989273
"166","followed","metoo",0.000274607397236763
"167","give","metoo",0.000875311078692182
"168","explanation","metoo",1.71629623272977e-05
"169","wanted","metoo",0.00188792585600275
"170","changed","metoo",0.00044623702050974
"171","another","metoo",0.00156182957178409
"172","gratefull","metoo",1.71629623272977e-05
"173","never","metoo",0.00580108126662662
"174","wonder","metoo",0.000291770359564061
"175","close","metoo",0.000738007380073801
"176","react","metoo",0.000137303698618382
"177","20","metoo",0.000463399982837038
"178","like","metoo",0.00547498498240796
"179","kind","metoo",0.000600703681455419
"180","doctors","metoo",6.86518493091908e-05
"181","women","metoo",0.00389599244829658
"182","possible","metoo",0.000171629623272977
"183","seeking","metoo",8.58148116364885e-05
"184","bad","metoo",0.00121857032523814
"185","name","metoo",0.000617866643782717
"186","internet","metoo",3.43259246545954e-05
"187","warn","metoo",1.71629623272977e-05
"188","didnt","metoo",0.000652192568437312
"189","find","metoo",0.00118424440058354
"190","probably","metoo",0.000291770359564061
"191","went","metoo",0.00334677765382305
"192","pension","metoo",3.43259246545954e-05
"193","now","metoo",0.00403329614691496
"194","writing","metoo",0.000377585171200549
"195","brings","metoo",0.000120140736291084
"196","tears","metoo",0.000257444434909465
"197","eyes","metoo",0.000703681455419205
"198","it’s","metoo",0.000755170342401098
"199","raw","metoo",5.14888869818931e-05
"200","two","metoo",0.00154466660945679
"201","ago","metoo",0.0014931777224749
"202","18","metoo",0.000703681455419205
"203","started","metoo",0.00262593323607655
"204","dating","metoo",0.000308933321891358
"205","cop","metoo",0.000171629623272977
"206","make","metoo",0.00171629623272977
"207","gas","metoo",8.58148116364885e-05
"208","station","metoo",0.000240281472582168
"209","job","metoo",0.000943962928001373
"210","he’d","metoo",0.000102977773963786
"211","contacted","metoo",0.000154466660945679
"212","facebook","metoo",0.000480562945164335
"213","i’d","metoo",0.000171629623272977
"214","liked","metoo",0.000274607397236763
"215","couldn’t","metoo",0.000394748133527847
"216","believe","metoo",0.0015103406848022
"217","actually","metoo",0.000549214794473526
"218","whenever","metoo",0.000120140736291084
"219","we’d","metoo",3.43259246545954e-05
"220","text","metoo",0.000171629623272977
"221","always","metoo",0.00214537029091221
"222","ask","metoo",0.000583540719128122
"223","want","metoo",0.00331245172916845
"224","ride","metoo",0.000188792585600275
"225","duty","metoo",8.58148116364885e-05
"226","turned","metoo",0.000703681455419205
"227","finally","metoo",0.00176778511971166
"228","yes","metoo",0.000514888869818931
"229","night","metoo",0.00187076289367545
"230","we’re","metoo",8.58148116364885e-05
"231","supposed","metoo",0.000326096284218656
"232","town","metoo",0.000429074058182442
"233","across","metoo",0.000240281472582168
"234","state","metoo",0.000480562945164335
"235","lines","metoo",3.43259246545954e-05
"236","talk","metoo",0.00164764438342058
"237","hoarse","metoo",1.71629623272977e-05
"238","cold","metoo",0.000154466660945679
"239","left","metoo",0.00169913327040247
"240","glasses","metoo",5.14888869818931e-05
"241","drove","metoo",0.000274607397236763
"242","hour","metoo",0.000137303698618382
"243","thirty","metoo",5.14888869818931e-05
"244","minutes","metoo",0.000205955547927572
"245","scared","metoo",0.00102977773963786
"246","looks","metoo",0.00022311851025487
"247","scary","metoo",6.86518493091908e-05
"248","mad","metoo",0.000171629623272977
"249","phone","metoo",0.000617866643782717
"250","place","metoo",0.000943962928001373
"251","truck","metoo",0.000171629623272977
"252","trail","metoo",3.43259246545954e-05
"253","woods","metoo",5.14888869818931e-05
"254","parked","metoo",0.000102977773963786
"255","talked","metoo",0.000549214794473526
"256","way","metoo",0.00271174804771304
"257","questions","metoo",0.000137303698618382
"258","race","metoo",5.14888869818931e-05
"259","d","metoo",6.86518493091908e-05
"260","gun","metoo",0.000102977773963786
"261","kill","metoo",0.000549214794473526
"262","kissed","metoo",0.000137303698618382
"263","first","metoo",0.00252295546211276
"264","serious","metoo",0.000154466660945679
"265","didn’t","metoo",0.00135587402385652
"266","promised","metoo",0.000102977773963786
"267","house","metoo",0.00176778511971166
"268","sex","metoo",0.00144168883549301
"269","condom","metoo",3.43259246545954e-05
"270","speechless","metoo",1.71629623272977e-05
"271","hurt","metoo",0.00123573328756543
"272","froze","metoo",0.00022311851025487
"273","positioned","metoo",1.71629623272977e-05
"274","hit","metoo",0.000274607397236763
"275","anything","metoo",0.00154466660945679
"276","maybe","metoo",0.00109842958894705
"277","lose","metoo",0.000171629623272977
"278","wasn’t","metoo",0.000394748133527847
"279","please","metoo",0.00113275551360165
"280","don’t","metoo",0.000738007380073801
"281","pushed","metoo",0.000343259246545954
"282","shoulders","metoo",0.000137303698618382
"283","forced","metoo",0.000789496267055694
"284","inside","metoo",0.000635029606110015
"285","small","metoo",0.000480562945164335
"286","force","metoo",0.000360422208873252
"287","tried","metoo",0.00185359993134815
"288","legs","metoo",0.000343259246545954
"289","pushing","metoo",3.43259246545954e-05
"290","open","metoo",0.000875311078692182
"291","wouldn’t","metoo",0.000137303698618382
"292","threw","metoo",0.00022311851025487
"293","thighs","metoo",6.86518493091908e-05
"294","apart","metoo",0.000274607397236763
"295","knees","metoo",6.86518493091908e-05
"296","cried","metoo",0.000326096284218656
"297","spaced","metoo",1.71629623272977e-05
"298","stop","metoo",0.00168197030807517
"299","hurting","metoo",0.000205955547927572
"300","live","metoo",0.000686518493091908
"301","evil","metoo",0.000188792585600275
"302","top","metoo",0.000257444434909465
"303","closed","metoo",0.00044623702050974
"304","done","metoo",0.00139019994851111
"305","much","metoo",0.00248862953745817
"306","purple","metoo",3.43259246545954e-05
"307","bruises","metoo",0.000171629623272977
"308","everywhere","metoo",8.58148116364885e-05
"309","nobody","metoo",0.000394748133527847
"310","dated","metoo",6.86518493091908e-05
"311","white","metoo",0.000137303698618382
"312","23","metoo",0.000188792585600275
"313","year","metoo",0.0022655110272033
"314","black","metoo",0.000120140736291084
"315","girl","metoo",0.00133871106152922
"316","lied","metoo",0.000137303698618382
"317","drive","metoo",0.000188792585600275
"318","audacity","metoo",1.71629623272977e-05
"319","friend","metoo",0.00283188878400412
"320","whole","metoo",0.000738007380073801
"321","spine","metoo",1.71629623272977e-05
"322","pressing","metoo",8.58148116364885e-05
"323","middle","metoo",0.000394748133527847
"324","compartment","metoo",1.71629623272977e-05
"325","sore","metoo",1.71629623272977e-05
"326","tore","metoo",3.43259246545954e-05
"327","hymen","metoo",1.71629623272977e-05
"328","crawled","metoo",6.86518493091908e-05
"329","bed","metoo",0.000926799965674075
"330","3a","metoo",1.71629623272977e-05
"331","m","metoo",0.000308933321891358
"332","sleep","metoo",0.000532051832146228
"333","knew","metoo",0.00171629623272977
"334","lost","metoo",0.000806659229382991
"335","come","metoo",0.00166480734574788
"336","hide","metoo",0.00022311851025487
